term,forms,tags
threesome,"threesome, eightsome, foursome, foursomes, threesomes, twosome, twosomes",8k
thyme,"thyme, thymes",8k
thyroid,"thyroid, hyperthyroid, hyperthyroidism",8k
topography,"topography, topographic, topographies",8k
torpedo,"torpedo, torpedoe, torpedoed, torpedoes, torpedoing",8k
tortoise,"tortoise, tortoises",8k
totalitarian,"totalitarian, totalitarianism",8k
traction,"traction, tractions",8k
trance,"trance, trances",8k
trans,trans,8k
transistor,"transistor, transistorize, transistorized, transistorizes, transistorizing, transistors",8k
translucent,"translucent, translucence, translucently",8k
transpire,"transpire, transpiration, transpired, transpires, transpiring",8k
treatise,"treatise, treatises",8k
treble,"treble, trebled, trebles, trebling",8k
tremor,"tremor, tremors",8k
trifle,"trifle, trifled, trifles, trifling, triflings",8k
troll,"troll, trolls",8k
troupe,"troupe, trouper, troupers, troupes",8k
trustworthy,"trustworthy, trustworthier, trustworthiest, trustworthiness, untrustworthy",8k
tummy,"tummy, tummies",8k
tumult,"tumult, tumults, tumultuous, tumultuously",8k
tundra,"tundra, tundras",8k
tunic,"tunic, tunics",8k
turquoise,turquoise,8k
turret,"turret, turreted, turrets",8k
tweak,"tweak, tweaked, tweaking, tweaks",8k
twirl,"twirl, twirled, twirler, twirlers, twirling, twirls",8k
typify,"typify, typified, typifies, typifying",8k
tyrant,"tyrant, tyrants",8k
tyre,"tyre, tyred, tyres",8k
ultra,ultra,8k
ultrasound,"ultrasound, ultrasounds",8k
underscore,"underscore, underscored, underscores, underscoring",8k
undulate,"undulate, undulated, undulates, undulating, undulation, undulations",8k
unearth,"unearth, unearthed, unearthing, unearths",8k
unitary,unitary,8k
unruly,"unruly, unruliness",8k
upcoming,upcoming,8k
uproar,"uproar, uproars, uproarious, uproariously",8k
uproot,"uproot, uprooted, uprooting, uproots",8k
upturn,"upturn, upturned, upturns",8k
urn,"urn, urns",8k
usurp,"usurp, usurpation, usurpations, usurped, usurper, usurpers, usurping, usurps",8k
vacate,"vacate, vacated, vacates, vacating",8k
vale,"vale, vales",8k
vascular,vascular,8k
vaulting,"vaulting, vaulted, vaulter, vaulters",8k
veneer,"veneer, veneered, veneers",8k
venerable,venerable,8k
veranda,"veranda, verandah, verandahs, verandas",8k
vernacular,"vernacular, vernaculars",8k
vertebrate,"vertebrate, vertebrates",8k
vex,"vex, vexation, vexatious, vexed, vexes, vexing",8k
vial,"vial, vials",8k
vibe,"vibe, vibes",8k
vicar,"vicar, vicars",8k
victor,"victor, victors",8k
vile,"vile, vileness",8k
viscous,"viscous, viscose, viscosities, viscosity",8k
vista,"vista, vistas",8k
volley,"volley, volleyed, volleys",8k
vulture,"vulture, vultures",8k
wad,"wad, wadded, wadding, wads",8k
waft,"waft, wafted, wafting, wafts",8k
waltz,"waltz, waltzed, waltzer, waltzers, waltzes, waltzing",8k
wean,"wean, weaned, weaning, weans",8k
wharf,"wharf, wharfie, wharfies, wharfs, wharves",8k
wheeze,"wheeze, wheezed, wheezes, wheezing, wheezy",8k
whiff,"whiff, whiffed, whiffs",8k
whimper,"whimper, whimpered, whimpering, whimpers",8k
whisker,"whisker, whiskered, whiskers, whiskery",8k
whitewash,"whitewash, whitewashed, whitewashes, whitewashing",8k
whiz,"whiz, whizz, whizzed, whizzes, whizzing",8k
wholesome,"wholesome, unwholesome, unwholesomeness, wholesomely, wholesomeness",8k
wicker,"wicker, wickers",8k
wiggle,"wiggle, wiggled, wiggler, wigglers, wiggles, wiggling, wiggly",8k
wilt,"wilt, wilted, wilting, wilts",8k
winger,"winger, wingers",8k
wisp,"wisp, wispier, wispiest, wisps, wispy",8k
wont,"wont, wonted",8k
wrangle,"wrangle, wrangled, wrangler, wranglers, wrangles, wrangling, wranglings",8k
wreak,"wreak, wreaked, wreaking, wreaks",8k
writhe,"writhe, writhed, writhes, writhing",8k
yankee,"yankee, yankees",8k
yoga,yoga,8k
yolk,"yolk, yolks",8k
yuan,"yuan, yuans",8k
zest,"zest, zestful, zestfully, zestfulness, zestier, zestiest, zests, zesty",8k
zion,"zion, zionism, zionist, zionists",8k
zoology,"zoology, zoological, zoologically, zoologist, zoologists",8k
abbot,"abbot, abbots",9k
abdicate,"abdicate, abdicated, abdicates, abdicating, abdication, abdications",9k
aberration,"aberration, aberrational, aberrations",9k
abrasive,"abrasive, abrasively, abrasiveness, nonabrasive",9k
abyss,"abyss, abyssal, abysses",9k
academia,academia,9k
accede,"accede, acceded, accedes, acceding",9k
accolade,"accolade, accolades",9k
accretion,"accretion, accrete, accreted, accretes, accreting, accretional, accretionary, accretions",9k
acne,"acne, acnes",9k
acrimony,"acrimony, acrimonies, acrimonious, acrimoniously, acrimoniousness",9k
acrobat,"acrobat, acrobatic, acrobatics, acrobats",9k
acronym,"acronym, acronyms",9k
acupuncture,"acupuncture, acupuncturist, acupuncturists",9k
adrenaline,"adrenaline, adrenalines",9k
adrift,adrift,9k
aerodynamic,"aerodynamic, aerodynamically, aerodynamics",9k
aerosol,"aerosol, aerosols",9k
afar,afar,9k
affable,"affable, affability, affably",9k
affix,"affix, affixation, affixations, affixed, affixes, affixing",9k
affluence,affluence,9k
affront,"affront, affronted, affronting, affronts",9k
afield,afield,9k
aggressor,"aggressor, aggressors",9k
aggrieved,"aggrieved, aggrievedly",9k
alchemy,"alchemy, alchemies, alchemist, alchemists",9k
alcove,"alcove, alcoves",9k
alibi,"alibi, alibis",9k
alkaline,"alkaline, alkalinities, alkalinity",9k
allay,"allay, allayed, allaying, allays",9k
alligator,"alligator, alligators",9k
altruism,"altruism, altruisms",9k
amble,"amble, ambled, ambler, amblers, ambles, ambling",9k
ameliorate,"ameliorate, ameliorated, ameliorates, ameliorating, amelioration, ameliorations",9k
amenable,"amenable, amenably",9k
amicable,"amicable, amicably",9k
amorphous,"amorphous, amorphously, amorphousness",9k
amphitheatre,"amphitheatre, amphitheater, amphitheaters, amphitheatres",9k
ancillary,"ancillary, ancillaries",9k
annals,"annals, annal, annalist, annalists",9k
annotate,"annotate, annotated, annotates, annotating, annotation, annotations",9k
annul,"annul, annulled, annulling, annulment, annulments, annuls",9k
anoint,"anoint, anointed, anointing, anointment, anointments, anoints",9k
antelope,"antelope, antelopes",9k
antifreeze,antifreeze,9k
antler,"antler, antlers",9k
apparel,"apparel, apparell, apparelled, apparelling, apparels",9k
apparition,"apparition, apparitions",9k
appellate,appellate,9k
aquifer,"aquifer, aquifers",9k
arable,arable,9k
arbiter,"arbiter, arbiters",9k
aria,"aria, arias",9k
armament,"armament, armaments",9k
armpit,"armpit, armpits",9k
arrears,"arrears, arrear",9k
arsenic,"arsenic, arsenics",9k
artful,"artful, artfully, artfulness",9k
artichoke,"artichoke, artichokes",9k
asparagus,asparagus,9k
asphalt,"asphalt, asphalts",9k
atone,"atone, atoned, atonement, atonements, atones, atoning",9k
atrium,"atrium, atria, atrial",9k
attrition,"attrition, attritions",9k
attune,"attune, attuned, attunes, attuning",9k
atypical,"atypical, atypically",9k
avocado,"avocado, avocadoes, avocados",9k
awash,awash,9k
awhile,awhile,9k
axiom,"axiom, axiomatic, axiomatically, axioms",9k
backlog,"backlog, backlogs",9k
bailiff,"bailiff, bailiffs",9k
bandwagon,"bandwagon, bandwagons",9k
banister,"banister, banisters, bannister, bannisters",9k
banter,"banter, bantered, bantering, banters",9k
barbaric,"barbaric, barbarically",9k
bard,"bard, bardic, bards",9k
barometer,"barometer, barometers, barometric",9k
barrister,"barrister, barristers",9k
basilica,"basilica, basilican, basilicas",9k
bastion,"bastion, bastions",9k
bedrock,bedrock,9k
befall,"befall, befallen, befalling, befalls, befell",9k
befriend,"befriend, befriended, befriending, befriends",9k
belch,"belch, belched, belcher, belchers, belches, belching",9k
bequeath,"bequeath, bequeathed, bequeathing, bequeaths",9k
bequest,"bequest, bequested, bequesting, bequests",9k
beret,"beret, berets",9k
bisexual,"bisexual, bisexualities, bisexuality, bisexually",9k
blare,"blare, blared, blares, blaring",9k
blemish,"blemish, blemished, blemishes, blemishing, unblemished",9k
blob,"blob, blobs",9k
bluster,"bluster, blustered, blusterer, blusterers, blustering, blusters, blustery",9k
boo,"boo, booed, booing, boos",9k
booty,"booty, booties",9k
borderline,"borderline, borderlines",9k
bough,"bough, boughs",9k
boulevard,"boulevard, boulevards",9k
bourbon,"bourbon, bourbons",9k
brag,"brag, bragged, bragging, brags",9k
braille,"braille, brailles",9k
bran,"bran, brans",9k
brandish,"brandish, brandished, brandishes, brandishing",9k
brat,"brat, brats",9k
bravo,"bravo, bravos",9k
brazen,"brazen, brazenly, brazenness",9k
breech,"breech, breeches",9k
brethren,brethren,9k
brine,"brine, brines",9k
broach,"broach, broached, broaches, broaching",9k
brooch,"brooch, brooches",9k
brunt,"brunt, brunts",9k
bulldog,"bulldog, bulldogs",9k
burly,"burly, burliness",9k
burr,"burr, burrs",9k
cackle,"cackle, cackled, cackler, cacklers, cackles, cackling",9k
cadmium,"cadmium, cadmiums",9k
calamity,"calamity, calamities, calamitous",9k
calculus,calculus,9k
callous,"callous, callously, callousness",9k
canister,"canister, canisters",9k
cannabis,"cannabis, cannabises",9k
canonical,"canonical, canonically",9k
caper,"caper, capered, capering, caperings, capers",9k
capillary,"capillary, capillaries",9k
capitulate,"capitulate, capitulated, capitulates, capitulating, capitulation, capitulations",9k
captor,"captor, captors",9k
caramel,"caramel, caramelise, caramelised, caramelises, caramelising, caramelize, caramelized, caramelizes, caramelizing, caramels",9k
cardigan,"cardigan, cardigans",9k
carnage,"carnage, carnages",9k
carport,"carport, carports",9k
cartilage,"cartilage, cartilages",9k
casa,casa,9k
castrate,"castrate, castrated, castrates, castrating, castration, castrations",9k
catechism,"catechism, catechisms, catechist, catechists",9k
catheter,"catheter, catheterise, catheterised, catheterises, catheterising, catheterize, catheterized, catheterizes, catheterizing, catheters",9k
catwalk,"catwalk, catwalks",9k
caustic,"caustic, caustically",9k
caveat,"caveat, caveats",9k
cede,"cede, ceded, ceder, ceders, cedes, ceding",9k
centenary,"centenary, bicentenaries, bicentenary, centenaries",9k
cessation,"cessation, cessations",9k
chasm,"chasm, chasms",9k
cheeky,"cheeky, cheeked, cheekier, cheekiest, cheekily, cheekiness, cheeking",9k
chide,"chide, chided, chides, chiding",9k
chirp,"chirp, chirped, chirpily, chirping, chirps, chirpy",9k
chivalry,"chivalry, chivalric, chivalries, chivalrous, chivalrously, unchivalrous",9k
chum,"chum, chummy, chums",9k
circumcize,"circumcize, circumcise, circumcised, circumcises, circumcising, circumcision, circumcisions, circumcized, circumcizes, circumcizing",9k
circumference,"circumference, circumferences, circumferential",9k
circumscribe,"circumscribe, circumscribed, circumscribes, circumscribing, circumscription",9k
clang,"clang, clanged, clanger, clangers, clanging, clangs",9k
claustrophobia,"claustrophobia, claustrophobic",9k
cleft,"cleft, clefts",9k
clink,"clink, clinked, clinker, clinkers, clinking, clinks",9k
cloister,"cloister, cloistered, cloisters",9k
coalesce,"coalesce, coalesced, coalescence, coalescences, coalescent, coalesces, coalescing",9k
cockroach,"cockroach, cockroaches",9k
cocoon,"cocoon, cocooned, cocooning, cocoons",9k
coffer,"coffer, coffers",9k
cohabit,"cohabit, cohabitant, cohabitants, cohabitation, cohabited, cohabiting, cohabits",9k
colitis,colitis,9k
collagen,collagen,9k
collegiate,collegiate,9k
comma,"comma, commas",9k
commodore,"commodore, commodores",9k
complicity,"complicity, complicities",9k
concuss,"concuss, concussed, concusses, concussing, concussion, concussions",9k
condole,"condole, condoled, condolence, condolences, condoles, condoling",9k
conduit,"conduit, conduits",9k
congenial,"congenial, congenialities, congeniality, congenially, uncongenial",9k
congruent,"congruent, congruence, congruences, congruently",9k
connoisseur,"connoisseur, connoisseurs",9k
consensual,consensual,9k
conservancy,"conservancy, conservancies",9k
considerate,"considerate, considerately, considerateness, inconsiderate, inconsiderately, inconsiderateness",9k
consternation,"consternation, consternations",9k
constipate,"constipate, constipated, constipates, constipating, constipation, constipations",9k
contagious,"contagious, contagiously, contagiousness, noncontagious",9k
contaminant,"contaminant, contaminants",9k
contiguous,"contiguous, contiguously",9k
contort,"contort, contorted, contorting, contortion, contortions, contorts, contortionist, contortionists",9k
contravene,"contravene, contravened, contravenes, contravening, contravention, contraventions",9k
convection,"convection, convectional, convector, convectors",9k
convoluted,"convoluted, convolute, convolution, convolutions",9k
coo,"coo, cooed, cooing, coos",9k
coop,"coop, cooped, cooping, coops",9k
copious,"copious, copiously, copiousness",9k
cordial,"cordial, cordialities, cordiality, cordially",9k
cordon,"cordon, cordoned, cordoning, cordons",9k
corrugate,"corrugate, corrugated, corrugates, corrugating, corrugation, corrugations",9k
cossack,"cossack, cossacks",9k
counterbalance,"counterbalance, counterbalanced, counterbalances, counterbalancing",9k
coupe,"coupe, coupes",9k
cower,"cower, cowered, cowering, cowers",9k
coy,"coy, coyly, coyness",9k
coyote,"coyote, coyotes",9k
cranberry,"cranberry, cranberries",9k
crayon,"crayon, crayons",9k
credence,"credence, credences",9k
crevice,"crevice, crevices",9k
crib,"crib, cribs",9k
crinkle,"crinkle, crinkled, crinkles, crinklier, crinkliest, crinkling, crinkly",9k
crony,"crony, cronies, cronyism",9k
croon,"croon, crooned, crooner, crooners, crooning, croons",9k
crossword,"crossword, crosswords",9k
crucify,"crucify, crucified, crucifies, crucifying",9k
crux,"crux, cruxes",9k
crypt,"crypt, crypts",9k
cryptic,"cryptic, cryptically",9k
crystalline,"crystalline, noncrystalline",9k
culpable,"culpable, culpability, culpably, inculpable",9k
cursor,"cursor, cursors",9k
cursory,"cursory, cursorily, cursoriness",9k
custodian,"custodian, custodians, custodianship, custodianships",9k
cylindrical,cylindrical,9k
cystic,cystic,9k
dabble,"dabble, dabbled, dabbler, dabblers, dabbles, dabbling",9k
daffodil,"daffodil, daffodils",9k
daft,"daft, dafter, daftest, daftly, daftness",9k
dainty,"dainty, daintier, dainties, daintiest, daintily, daintiness",9k
dal,dal,9k
dashboard,"dashboard, dashboards",9k
debacle,"debacle, debacles, débâcle, débâcles",9k
decimal,"decimal, decimals",9k
decimate,"decimate, decimated, decimates, decimating, decimation, decimations",9k
decoy,"decoy, decoyed, decoying, decoys",9k
deluge,"deluge, deluged, deluges, deluging",9k
demarcate,"demarcate, demarcated, demarcates, demarcating, demarcation, demarcations",9k
demean,"demean, demeaned, demeaning, demeans",9k
demote,"demote, demoted, demotes, demoting, demotion, demotions",9k
denigrate,"denigrate, denigrated, denigrates, denigrating, denigration, denigrations",9k
denominator,"denominator, denominators",9k
derail,"derail, derailed, derailing, derailment, derailments, derails",9k
dermatology,"dermatology, dermatologist, dermatologists",9k
despondent,"despondent, despondencies, despondency, despondently",9k
despot,"despot, despotic, despotism, despots",9k
destitute,"destitute, destitution",9k
deutschmark,"deutschmark, deutschmarks, dm, dms",9k
devious,"devious, deviously, deviousness",9k
diaphragm,"diaphragm, diaphragms",9k
digitise,"digitise, digitised, digitises, digitising, digitize, digitized, digitizes, digitizing",9k
dignitary,"dignitary, dignitaries",9k
dilapidated,"dilapidated, dilapidation",9k
dilate,"dilate, dilated, dilates, dilating, dilation",9k
diminutive,diminutive,9k
dimple,"dimple, dimpled, dimples, dimpling, dimplings",9k
dinghy,"dinghy, dinghies, dinghys",9k
directorate,"directorate, directorates",9k
dis,dis,9k
disbelieve,"disbelieve, disbelieved, disbeliever, disbelievers, disbelieves, disbelieving, disbelievingly",9k
disclaim,"disclaim, disclaimed, disclaimer, disclaimers, disclaiming, disclaims",9k
discolour,"discolour, discolor, discoloration, discolorations, discolored, discoloring, discolors, discolouration, discolourations, discoloured, discolouring, discolours",9k
discontinuity,"discontinuity, discontinuities",9k
disenchant,"disenchant, disenchanted, disenchanting, disenchantment, disenchantments, disenchants",9k
disfigure,"disfigure, disfigured, disfigurement, disfigurements, disfigures, disfiguring",9k
dismember,"dismember, dismembered, dismembering, dismemberment, dismemberments, dismembers",9k
dismount,"dismount, dismounted, dismounting, dismountings, dismounts",9k
disorganized,"disorganized, disorganisation, disorganised, disorganization",9k
disparage,"disparage, disparaged, disparagements, disparages, disparaging, disparagingly, disparagement",9k
dispossess,"dispossess, dispossessed, dispossesses, dispossessing, dispossession, dispossessions",9k
disprove,"disprove, disproved, disproves, disproving",9k
disquiet,"disquiet, disquieted, disquieting, disquiets",9k
dissonance,"dissonance, dissonances, dissonant, dissonantly",9k
dissuade,"dissuade, dissuaded, dissuades, dissuading",9k
disuse,"disuse, disused",9k
divest,"divest, divested, divesting, divestment, divestments, divests",9k
divulge,"divulge, divulged, divulges, divulging",9k
doctoral,doctoral,9k
doo,doo,9k
dorsal,"dorsal, dorsally",9k
douse,"douse, doused, douses, dousing",9k
draught,"draught, draughtier, draughtiest, draughts, draughty",9k
drowsy,"drowsy, drowsier, drowsiest, drowsily, drowsiness, drowse, drowsing, drowsed, drowses",9k
dun,"dun, duns",9k
dung,dung,9k
dupe,"dupe, duped, duper, dupers, dupes, duping",9k
dynamite,"dynamite, dynamited",9k
dyslexia,"dyslexia, dyslexias, dyslexic",9k
eave,"eave, eaves",9k
eavesdrop,"eavesdrop, eavesdropped, eavesdropper, eavesdroppers, eavesdropping, eavesdrops",9k
ebony,"ebony, ebonies",9k
eddy,"eddy, eddied, eddies, eddying",9k
edifice,"edifice, edifices",9k
elemental,"elemental, elementally",9k
embalm,"embalm, embalmed, embalmer, embalmers, embalming, embalms",9k
ember,"ember, embers",9k
embroil,"embroil, embroiled, embroiling, embroilment, embroilments, embroils",9k
emigrant,"emigrant, emigrants",9k
emir,"emir, emirate, emirates, emirs",9k
encamp,"encamp, encamped, encamping, encampment, encampments, encamps",9k
encore,"encore, encores",9k
engross,"engross, engrossed, engrosses, engrossing, engrossment, engrossments",9k
enigma,"enigma, enigmas",9k
enliven,"enliven, enlivened, enlivening, enlivenment, enlivenments, enlivens",9k
enslave,"enslave, enslaved, enslavement, enslavements, enslaves, enslaving",9k
enterprising,"enterprising, enterprisingly, unenterprising",9k
enthuse,"enthuse, enthused, enthuses, enthusing",9k
entropy,"entropy, entropic, entropies",9k
enunciate,"enunciate, enunciated, enunciates, enunciating, enunciation, enunciations",9k
envious,"envious, enviously, enviousness",9k
envision,"envision, envisioned, envisioning, envisions",9k
ephemeral,"ephemeral, ephemerally",9k
equivalence,"equivalence, equivalences",9k
esoteric,"esoteric, esoterically",9k
euphemism,"euphemism, euphemisms, euphemistic, euphemistically",9k
euthanasia,euthanasia,9k
evasive,"evasive, evasively, evasiveness",9k
evocative,"evocative, evocatively",9k
ewe,"ewe, ewes",9k
excruciating,"excruciating, excruciatingly",9k
exorcise,"exorcise, exorcised, exorcises, exorcising, exorcism, exorcisms, exorcist, exorcists, exorcize, exorcized, exorcizes, exorcizing",9k
exponent,"exponent, exponents",9k
exponential,"exponential, exponentially",9k
expound,"expound, expounded, expounder, expounders, expounding, expounds",9k
expressionist,"expressionist, expressionism, expressionists",9k
extant,extant,9k
exterminate,"exterminate, exterminated, exterminates, exterminating, extermination, exterminations, exterminator, exterminators",9k
extol,"extol, extolled, extolling, extols",9k
extrovert,"extrovert, extraversion, extravert, extraverted, extraverts, extroversion, extroverted, extroverts",9k
exult,"exult, exultant, exultantly, exultation, exultations, exulted, exulting, exults",9k
eyelash,"eyelash, eyelashes",9k
facsimile,"facsimile, facsimiles",9k
fag,"fag, fagged, fagging, fags",9k
fart,"fart, farted, farter, farters, farting, farts",9k
fateful,"fateful, fatefully, fatefulness",9k
fawn,"fawn, fawningly, fawned, fawning, fawns, fawny",9k
fearsome,"fearsome, fearsomely",9k
ferocity,"ferocity, ferocities",9k
fester,"fester, festered, festering, festers",9k
fetish,"fetish, fetishes, fetishism, fetishist, fetishists, fetishize, fetishisation, fetishise, fetishised, fetishises, fetishising, fetishization, fetishized, fetishizes, fetishizing",9k
fibrosis,fibrosis,9k
fictitious,"fictitious, fictitiously",9k
fiduciary,fiduciary,9k
fiend,"fiend, archfiend, archfiends, fiendish, fiendishly, fiends",9k
filament,"filament, filamentous, filaments",9k
finesse,"finesse, finessed, finesses, finessing",9k
fissure,"fissure, fissured, fissures, fissuring",9k
fizz,"fizz, fizzed, fizzer, fizzers, fizzes, fizzier, fizziest, fizziness, fizzing, fizzy",9k
flak,"flak, flack",9k
flashlight,"flashlight, flashlights",9k
flashy,"flashy, flashier, flashiest, flashily, flashiness",9k
flaunt,"flaunt, flaunted, flaunting, flauntings, flaunts",9k
flint,"flint, flints, flinty",9k
flit,"flit, flits, flitted, flitting",9k
flog,"flog, flogged, flogging, flogs",9k
florist,"florist, florists",9k
fluke,"fluke, flukes, flukey",9k
foal,"foal, foaled, foaling, foals",9k
fodder,fodder,9k
foreclose,"foreclose, foreclosed, forecloses, foreclosing, foreclosure",9k
forefinger,"forefinger, forefingers",9k
foresight,"foresight, foresights",9k
forestall,"forestall, forestalled, forestalling, forestalls",9k
forsake,"forsake, forsaken, forsakes, forsaking",9k
forthright,"forthright, forthrightly, forthrightness",9k
freeway,"freeway, freeways",9k
frigid,"frigid, frigidity, frigidly, frigidness",9k
frock,"frock, frocks",9k
fudge,"fudge, fudges",9k
furtive,"furtive, furtively, furtiveness",9k
fuselage,"fuselage, fuselages",9k
galactic,galactic,9k
garland,"garland, garlanded, garlanding, garlands",9k
garner,"garner, garnered, garnering, garners",9k
gash,"gash, gashed, gashes, gashing",9k
gaudy,"gaudy, gaudier, gaudiest, gaudily, gaudiness",9k
gaunt,"gaunt, gaunter, gauntest, gauntness",9k
genial,"genial, genialities, geniality, genially",9k
gentile,"gentile, gentiles",9k
geophysics,"geophysics, geophysic, geophysical, geophysically, geophysicist, geophysicists",9k
geranium,"geranium, geraniums",9k
geriatric,"geriatric, geriatrics",9k
germinate,"germinate, germinated, germinates, germinating, germination, germinations",9k
gestate,"gestate, gestated, gestates, gestating, gestation, gestational, gestations",9k
giddy,"giddy, giddier, giddiest, giddily, giddiness",9k
git,"git, gits",9k
globule,"globule, globular, globules",9k
glower,"glower, glowered, glowering, glowers",9k
glum,"glum, glumly, glumness",9k
goblet,"goblet, goblets",9k
grail,"grail, grails",9k
granulate,"granulate, granulated, granulates, granulating, granulation",9k
grapefruit,"grapefruit, grapefruits",9k
gratuitous,"gratuitous, gratuitously, gratuitousness",9k
greenery,"greenery, greeneries",9k
grievous,"grievous, grievously, grievousness",9k
grille,"grille, grilles",9k
gripe,"gripe, griped, gripes, griping",9k
grouse,"grouse, grouses",9k
grub,"grub, grubs",9k
gruff,"gruff, gruffer, gruffest, gruffly, gruffness",9k
gurgle,"gurgle, gurgled, gurgles, gurgling",9k
haggle,"haggle, haggled, haggler, hagglers, haggles, haggling",9k
hapless,"hapless, haplessly, haplessness",9k
hardline,"hardline, hardliner, hardliners",9k
harem,"harem, harems",9k
hark,"hark, harked, harken, harkened, harkening, harkens, harking, harks",9k
harrow,"harrow, harrowed, harrowing, harrows",9k
hash,"hash, hashed, hashes, hashing",9k
hawking,"hawking, hawked, hawker, hawkers",9k
headhunt,"headhunt, headhunted, headhunter, headhunters, headhunting, headhunts",9k
headlong,headlong,9k
headway,"headway, headways",9k
helix,"helix, helical, helically, helices, helixes",9k
henceforth,henceforth,9k
herbicide,"herbicide, herbicidal, herbicides",9k
herein,herein,9k
heresy,"heresy, heresies",9k
hiccup,"hiccup, hiccough, hiccoughed, hiccoughing, hiccoughs, hiccupped, hiccupping, hiccups",9k
highness,"highness, highnesses",9k
histamine,"histamine, antihistamine, antihistamines, histamines",9k
hoe,"hoe, hoed, hoeing, hoer, hoers, hoes",9k
holler,"holler, hollered, hollering, hollers",9k
holster,"holster, holstered, holstering, holsters, unholstered",9k
homely,"homely, homeliness",9k
homestead,"homestead, homesteads",9k
homology,"homology, homologies, homologous",9k
homophobia,"homophobia, homophobe, homophobes, homophobic",9k
hooligan,"hooligan, hooliganism, hooligans",9k
hooray,"hooray, hurrah, hurrahs, hurray",9k
hopper,"hopper, hoppers",9k
horrid,"horrid, horrider, horridest, horridly",9k
hulk,"hulk, hulks, hulking",9k
hunk,"hunk, hunkier, hunkiest, hunks, hunky",9k
hyperactive,"hyperactive, hyperactivities, hyperactivity",9k
hypnosis,"hypnosis, hypnoses",9k
hypnotic,"hypnotic, hypnotically",9k
hypnotise,"hypnotise, hypnotised, hypnotises, hypnotising, hypnotism, hypnotist, hypnotists, hypnotize, hypnotized, hypnotizes, hypnotizing",9k
iconography,"iconography, iconographic, iconographies",9k
idealistic,"idealistic, idealistically",9k
illusory,illusory,9k
illustrious,illustrious,9k
imam,"imam, imams",9k
imbue,"imbue, imbued, imbues, imbuing",9k
immobilize,"immobilize, immobilisation, immobilise, immobilised, immobiliser, immobilisers, immobilises, immobilising, immobilization, immobilized, immobilizes, immobilizing",9k
impasse,"impasse, impasses",9k
impassive,"impassive, impassively, impassiveness, impassivities, impassivity",9k
impel,"impel, impelled, impeller, impellers, impelling, impels",9k
impenetrable,"impenetrable, impenetrably, penetrable",9k
impersonate,"impersonate, impersonated, impersonates, impersonating, impersonation, impersonations",9k
impinge,"impinge, impinged, impingement, impingements, impinges, impinging",9k
implore,"implore, implored, implores, imploring",9k
impotence,impotence,9k
impromptu,impromptu,9k
incapacitate,"incapacitate, incapacitated, incapacitates, incapacitating, incapacitation",9k
incriminate,"incriminate, incriminated, incriminates, incriminating, incrimination, incriminations",9k
incursion,"incursion, incursions",9k
indemnity,"indemnity, indemnities",9k
indie,indie,9k
indoctrinate,"indoctrinate, indoctrinated, indoctrinates, indoctrinating, indoctrination, indoctrinations",9k
ineffectual,"ineffectual, ineffectually",9k
inept,"inept, inepter, ineptest, ineptly, ineptness",9k
infarct,"infarct, infarction, infarctions, infarcts",9k
infatuate,"infatuate, infatuated, infatuates, infatuating, infatuation, infatuations",9k
infirm,"infirm, infirmities, infirmity",9k
infirmary,"infirmary, infirmaries",9k
ingrain,"ingrain, ingrained, ingraining, ingrains",9k
inlay,"inlay, inlaid, inlaying, inlays",9k
innocuous,"innocuous, innocuously, innocuousness",9k
innuendo,"innuendo, innuendoes, innuendos",9k
inoculate,"inoculate, inoculated, inoculates, inoculating, inoculation, inoculations",9k
inordinate,"inordinate, inordinately, ordinate, ordinates",9k
inquest,"inquest, inquests",9k
inquisitive,"inquisitive, inquisitively, inquisitiveness",9k
insecticide,"insecticide, insecticidal, insecticides",9k
insignia,"insignia, insignias",9k
insinuate,"insinuate, insinuated, insinuates, insinuating, insinuation, insinuations",9k
insomnia,"insomnia, insomnias, insomniac",9k
insurrection,"insurrection, insurrectionist, insurrectionists, insurrections",9k
intelligentsia,"intelligentsia, intelligentsias",9k
interject,"interject, interjected, interjecting, interjection, interjections, interjects",9k
interlude,"interlude, interludes",9k
interminable,"interminable, interminably",9k
intersperse,"intersperse, interspersed, intersperses, interspersing",9k
interweave,"interweave, interweaved, interweaving, interwoven",9k
intifada,"intifada, intifadas",9k
intricacy,"intricacy, intricacies",9k
irradiate,"irradiate, irradiated, irradiates, irradiating, irradiation, irradiations",9k
jarring,"jarring, jarred, jarringly",9k
jasmine,"jasmine, jasmines",9k
jeer,"jeer, jeered, jeering, jeers",9k
jest,"jest, jested, jester, jesters, jesting, jests",9k
jigsaw,"jigsaw, jigsaws",9k
jihad,"jihad, jehad, jehads, jihadi, jihadis, jihadist, jihadists, jihads",9k
jingle,"jingle, jingled, jingles, jingling",9k
jitter,"jitter, jitterier, jitteriest, jitters, jittery",9k
jumbo,"jumbo, jumbos",9k
juncture,"juncture, junctures",9k
junkie,"junkie, junkies",9k
junta,"junta, juntas",9k
kangaroo,"kangaroo, kangaroos, roo, roos",9k
keel,"keel, keeled, keeling, keels",9k
kiln,"kiln, kilns",9k
kilo,"kilo, kilos",9k
kilowatt,"kilowatt, kilowatts, kw",9k
kink,"kink, kinkier, kinkiest, kinkily, kinkiness, kinks, kinky",9k
kiwi,"kiwi, kiwis",9k
